host_response;response_date;number_of_messages;automated_coding;latitude;longitude;bed_type;property_type;cancellation_policy;number_guests;bedrooms;bathrooms;cleaning_fee;price;apt_rating;property_setup;city;date_sent;listing_down;number_of_listings;number_of_reviews;member_since;verified_id;host_race;super_host;host_gender;host_age;host_gender_1;host_gender_2;host_gender_3;host_race_1;host_race_2;host_race_3;guest_first_name;guest_last_name;guest_race;guest_gender;guest_id;population;whites;blacks;asians;hispanics;available_september;up_not_available_september;september_price;census_tract;host_id;new_number_of_listings
1;08.07.2015 03:40;\N;1;328.153;-967.702;NULL;House;Moderate;6;6;6;50;120;5;Entire Place;Dallas;07.07.2015 14:36;0;1;56;February 2012;1;white;-1;MF;young;MF;MF;Null;white;white;Null;Greg;O'Brien;white;male;7;2204;1609;47;34;1129;0;1;130;1002;1812060;1
0;07.07.2015 20:30;3;0;328.131;-967.702;Real Bed;House;Strict;4;4;4;15;74;5;Private Room;Dallas;07.07.2015 16:29;0;1;20;December 2013;1;asian;-1;M;young;M;M;Null;asian;asian;Null;Latoya;Williams;black;female;13;3358;2815;117;63;796;0;1;74;1101;10389383;1
4;07.07.2015 15:38;3;0;328.167;-967.678;NULL;House;Moderate;6;6;6;25;150;-1;Entire Place;Dallas;07.07.2015 11:33;0;1;3;May 2013;1;white;-1;M;middle/young;M;M;Null;white;white;Null;Brad;Walsh;white;male;6;3358;2815;117;63;796;0;1;175;1101;6626101;1
0;07.07.2015 02:46;\N;0;328.145;-967.687;Real Bed;House;Flexible;2;2;2;70;110;-1;Private Room;Dallas;06.07.2015 20:09;0;1;0;June 2014;0;white;-1;F;middle;F;F;Null;white;white;Null;Allison;Sullivan;white;female;1;3358;2815;117;63;796;0;1;110;1101;16370706;1
4;07.07.2015 20:50;3;0;330.045;-968.294;Real Bed;Apartment;Flexible;3;3;3;-1;50;5;Private Room;Dallas;07.07.2015 16:30;0;1;11;February 2015;0;black;-1;M;young;M;M;Null;black;black;Null;Latoya;Williams;black;female;13;3066;2245;349;314;295;0;1;49;31711;27322925;1
2;08.07.2015 02:54;2;0;329.779;-968.238;Real Bed;House;Moderate;2;2;2;-1;250;-1;Private Room;Dallas;07.07.2015 11:33;0;1;0;Apr 15;0;white;-1;F;middle;F;F;Null;white;white;Null;Brad;Walsh;white;male;6;2605;2311;76;140;122;0;1;250;13611;31028891;1
1;07.07.2015 22:34;2;1;329.922;-968.358;Real Bed;House;Flexible;2;2;2;5;85;-1;Private Room;Dallas;07.07.2015 16:06;0;3;4;February 2014;1;unclear_three votes;-1;F;middle/old;F;F;F;white;UU;hisp;Lakisha;Jones;black;female;11;3825;2706;479;264;556;0;1;85;31704;12321313;3
1;07.07.2015 23:42;3;0;330.049;-968.407;Real Bed;House;Moderate;2;2;2;20;62;-1;Private Room;Dallas;07.07.2015 15:44;0;1;1;December 2013;1;white;-1;MF;young/middle;MF;MF;Null;white;white;Null;Todd;McCarthy;white;male;10;3066;2245;349;314;295;1;0;46;31711;10476146;1
0;07.07.2015 20:17;\N;1;327.966;-967.852;Real Bed;House;Flexible;2;2;2;-1;125;5;Private Room;Dallas;07.07.2015 16:07;0;1;4;March 2014;1;white;-1;MF;young;MF;MF;Null;white;white;Null;Lakisha;Jones;black;female;11;3696;1724;1519;159;563;\N;\N;\N;1600;13127008;1
-1;\N;\N;1;328.049;-968.089;Real Bed;Apartment;Flexible;3;3;3;40;119;5;Entire Place;Dallas;\N;0;2;18;December 2014;1;white;-1;M;young;M;M;Null;white;white;Null;Tanisha;Jackson;black;female;15;5537;3774;373;162;2323;\N;\N;\N;500;25371296;2
-1;08.07.2015 22:08;\N;1;327.913;-967.877;Real Bed;Apartment;Flexible;2;2;2;-1;100;-1;Entire Place;Dallas;07.07.2015 18:07;0;2;18;December 2014;1;white;-1;M;young;M;M;Null;white;white;Null;Tanisha;Jackson;black;female;15;2279;1502;403;213;289;\N;\N;\N;2200;25371296;2
1;07.07.2015 18:57;3;1;327.955;-967.837;Real Bed;House;Flexible;2;2;2;-1;69;-1;Private Room;Dallas;07.07.2015 14:54;0;1;0;May 2015;0;white;-1;F;young;F;F;Null;white;white;Null;Brent;Baker;white;male;8;3696;1724;1519;159;563;0;1;50;1600;34551706;1
1;08.07.2015 03:20;2;0;327.946;-967.859;Real Bed;House;Flexible;3;3;3;20;70;5;Private Room;Dallas;07.07.2015 18:24;0;1;30;Sep 11;1;white;-1;M;young;M;M;Null;white;white;Null;Tanisha;Jackson;black;female;15;3696;1724;1519;159;563;0;1;70;1600;1173865;1
1;07.07.2015 19:06;2;1;327.674;-967.906;Real Bed;Undefined;Strict;2;2;2;-1;115;5;Entire Place;Dallas;07.07.2015 11:28;0;1;92;Aug 13;1;white;-1;F;young;F;F;Null;white;white;Null;Meredith;O'Brien;white;female;5;5518;3146;1609;175;1187;0;1;110;20400;8089510;1
1;08.07.2015 01:34;\N;0;327.694;-967.948;NULL;Apartment;Flexible;4;4;4;-1;90;-1;Entire Place;Dallas;07.07.2015 21:31;0;1;0;Apr 15;1;mult;-1;MM;middle/young;MM;MM;Null;mult;mult;Null;Kareem;Robinson;black;male;22;5518;3146;1609;175;1187;0;1;90;20400;32209220;1
2;07.07.2015 05:01;3;0;32.769;-967.916;Pull-out Sofa;House;Strict;2;2;2;20;63;5;Private Room;Dallas;06.07.2015 23:49;0;1;52;October 2011;1;unclear;-1;F;middle;F;F;F;hisp;unclear;unclear;Laurie;Ryan;white;female;3;5518;3146;1609;175;1187;0;1;73;20400;1320133;1
1;07.07.2015 18:57;\N;0;327.692;-967.914;NULL;Apartment;Strict;8;8;8;50;150;5;Entire Place;Dallas;07.07.2015 14:55;0;5;146;May 2011;1;white;-1;M;middle/young;MF;M;M;white;white;white;Brent;Baker;white;male;8;5518;3146;1609;175;1187;0;1;150;20400;625337;4
0;07.07.2015 21:59;\N;1;327.837;-96.796;Real Bed;Apartment;Moderate;1;1;1;25;60;-1;Private Room;Dallas;07.07.2015 17:57;0;3;40;July 2011;1;white;-1;F;middle/young;F;F;F;hisp;white;white;Tamika;Williams;black;female;14;1195;801;261;45;140;0;1;85;2100;849494;3
2;07.07.2015 21:57;2;0;327.691;-967.883;Real Bed;House;Flexible;2;2;2;-1;75;5;Private Room;Dallas;07.07.2015 15:56;0;1;30;October 2012;0;white;-1;M;middle;M;M;Null;white;white;Null;Tamika;Williams;black;female;14;5518;3146;1609;175;1187;1;0;75;20400;3751160;1
4;07.07.2015 16:43;3;0;327.708;-967.913;Real Bed;Undefined;Flexible;6;6;6;-1;250;-1;Entire Place;Dallas;07.07.2015 11:34;0;1;0;May 2015;0;white;-1;M;middle/young;F;M;M;white;white;white;Brad;Walsh;white;male;6;5518;3146;1609;175;1187;1;0;250;20400;33194518;1
2;07.07.2015 20:24;3;0;328.547;-966.845;Real Bed;House;Moderate;2;2;2;15;44;04. Mai;Private Room;Dallas;07.07.2015 16:09;0;1;7;December 2013;1;white;-1;M;middle;M;M;Null;white;white;Null;Latonya;Robinson;black;female;12;7169;5225;333;94;2571;0;1;44;12800;10552156;1
4;07.07.2015 22:43;2;0;328.581;-966.899;NULL;House;Strict;8;8;8;80;290;5;Entire Place;Dallas;07.07.2015 18:30;0;2;18;Apr 12;1;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Darnell;Jackson;black;male;16;7169;5225;333;94;2571;0;1;290;12800;2096098;1
2;07.07.2015 18:58;2;0;327.781;-968.005;Real Bed;Apartment;Moderate;2;2;2;10;59;5;Private Room;Dallas;07.07.2015 14:55;0;1;51;October 2012;1;white;-1;MM;young/middle;MM;MM;Null;white;white;Null;Brent;Baker;white;male;8;2474;1971;281;64;371;0;1;79;3101;3941902;1
1;08.07.2015 03:06;\N;1;32.782;-967.966;Real Bed;Apartment;Flexible;2;2;2;-1;89;5;Private Room;Dallas;07.07.2015 21:31;0;1;11;March 2015;1;white;-1;M;young;M;M;Null;white;white;Null;Kareem;Robinson;black;male;22;2474;1971;281;64;371;0;1;99;3101;30064063;1
1;07.07.2015 15:36;3;0;32.781;-967.982;Real Bed;Undefined;Moderate;2;2;2;25;99;-1;Entire Place;Dallas;07.07.2015 11:34;0;3;111;May 2014;1;black;-1;M;young;M;M;Null;black;black;Null;Brad;Walsh;white;male;6;2474;1971;281;64;371;0;1;99;3101;16174069;1
